batch,keyword,position,col_d,traffic,traffic_pct,volume,kd,url
1,treadmill,7,11,26900,7.60,673000,92,https://www.treadmillreviews.net/best-treadmill/
1,folding treadmill,1,6,12700,3.59,27100,86,https://www.treadmillreviews.net/best-treadmill/folding/
1,treadmill for home,1,8,8500,2.40,18100,89,https://www.treadmillreviews.net/best-treadmill/for-home-use/
1,treadmill for sale,7,7,6600,1.86,165000,87,https://www.treadmillreviews.net/best-treadmill/for-home-use/
1,treadmill reviews,1,6,4700,1.31,9900,81,https://www.treadmillreviews.net/
1,best treadmill 2020,2,8,4300,1.21,33100,86,https://www.treadmillreviews.net/best-treadmill/for-home-use/
1,best treadmill for home,2,4,4300,1.21,33100,89,https://www.treadmillreviews.net/best-treadmill/for-home-use/
1,best treadmill,2,6,4300,1.21,33100,90,https://www.treadmillreviews.net/best-treadmill/for-home-use/
1,sole f63 treadmill,4,8,2800,0.80,40500,67,https://www.treadmillreviews.net/sole-f63/
1,fold up treadmill,1,8,2500,0.71,5400,87,https://www.treadmillreviews.net/best-treadmill/folding/
1,treadmill for sale,12,7,2100,0.60,165000,87,https://www.treadmillreviews.net/treadmills-for-sale/
1,best treadmill under 1000,1,5,2100,0.58,4400,63,https://www.treadmillreviews.net/best-treadmill/under-1000/
1,best folding treadmill,1,4,2100,0.58,4400,84,https://www.treadmillreviews.net/best-treadmill/folding/
1,sole f85 treadmill,1,8,2100,0.58,4400,66,https://www.treadmillreviews.net/sole-f85/
1,best treadmills for running,1,5,2100,0.58,4400,87,https://www.treadmillreviews.net/best-treadmill/for-runners/
1,sole f80 treadmill,3,8,2000,0.56,22200,69,https://www.treadmillreviews.net/sole-f80/
1,best treadmill for walking,1,7,1700,0.47,3600,86,https://www.treadmillreviews.net/best-treadmill/for-walkers/
1,best budget treadmill,1,5,1700,0.47,3600,80,https://www.treadmillreviews.net/best-treadmill/cheap/
1,sole f80,3,7,1600,0.46,18100,69,https://www.treadmillreviews.net/sole-f80/
2,horizon t101 treadmill,4,7,1300,0.35,18100,75,https://www.treadmillreviews.net/horizon-t101-treadmill-review/
2,weslo treadmill,4,5,1300,0.35,18100,83,https://www.treadmillreviews.net/weslo-cadence-g5-9/
2,proform smart pro 5000,1,5,1100,0.31,2400,75,https://www.treadmillreviews.net/proform-pro-5000/
2,best treadmill brands,1,7,1100,0.31,2400,83,https://www.treadmillreviews.net/best-treadmill/
2,best treadmill for home use,1,6,1100,0.31,2400,88,https://www.treadmillreviews.net/best-treadmill/for-home-use/
2,best home treadmill for running,1,6,1100,0.31,2400,87,https://www.treadmillreviews.net/best-treadmill/for-runners/
2,sole f80 review,1,7,1100,0.31,2400,71,https://www.treadmillreviews.net/sole-f80/
2,nordictrack x9i,1,7,1100,0.31,2400,63,https://www.treadmillreviews.net/nordictrack-incline-trainer-x9i-interactive/
2,best cheap treadmill,1,5,1100,0.31,2400,84,https://www.treadmillreviews.net/best-treadmill/cheap/
2,best affordable treadmill,1,5,1100,0.31,2400,83,https://www.treadmillreviews.net/best-treadmill/cheap/
2,proform treadmill reviews,1,6,1100,0.31,2400,72,https://www.treadmillreviews.net/proform-treadmill-review/
2,horizon t101,3,9,1100,0.30,12100,72,https://www.treadmillreviews.net/horizon-t101-treadmill-review/
2,sole f63,4,9,1000,0.29,14800,67,https://www.treadmillreviews.net/sole-f63/
2,used treadmill,6,5,905,0.25,18100,75,https://www.treadmillreviews.net/used-vs-new-treadmills/
2,proform 5000,1,5,893,0.25,1900,77,https://www.treadmillreviews.net/proform-pro-5000/
2,nordictrack treadmill reviews,1,6,893,0.25,1900,79,https://www.treadmillreviews.net/nordictrack-treadmill-reviews/
2,livestrong treadmill,1,5,893,0.25,1900,75,https://www.treadmillreviews.net/livestrong-treadmill-review/
2,sole treadmill reviews,1,6,893,0.25,1900,69,https://www.treadmillreviews.net/sole-treadmill-reviews/
2,proform 505 cst treadmill,3,4,891,0.25,9900,78,https://www.treadmillreviews.net/proform-505-cst/
2,treadmill black friday,3,6,891,0.25,9900,83,https://www.treadmillreviews.net/sales/black-friday/
2,weslo cadence g 5.9 treadmill,4,6,847,0.23,12100,78,https://www.treadmillreviews.net/weslo-cadence-g5-9/
2,collapsible treadmill,1,7,752,0.21,1600,90,https://www.treadmillreviews.net/best-treadmill/folding/
2,horizon t101 treadmill review,1,6,752,0.21,1600,67,https://www.treadmillreviews.net/horizon-t101-treadmill-review/
2,horizon treadmill reviews,1,5,752,0.21,1600,70,https://www.treadmillreviews.net/horizon-fitness-treadmill-reviews/
2,epic treadmill,1,6,752,0.21,1600,74,https://www.treadmillreviews.net/epic-view-550/
2,nordictrack vs proform,1,5,752,0.21,1600,60,https://www.treadmillreviews.net/proform-treadmills-vs-nordictrack-treadmills-stiff-competition-for-these-sister-brands/
2,sole f60 treadmill,1,5,752,0.21,1600,62,https://www.treadmillreviews.net/sole-f60-treadmill-folding/
2,proform 995i,1,3,752,0.21,1600,72,https://www.treadmillreviews.net/proform-power-995i-folding/
2,treadmill reviews 2020,1,6,752,0.21,1600,84,https://www.treadmillreviews.net/best-home-treadmills-2020/
2,proform treadmill,5,7,740,0.20,74000,89,https://www.treadmillreviews.net/proform-treadmill-review/
2,incline treadmill,5,7,740,0.20,14800,87,https://www.treadmillreviews.net/best-treadmill/incline-trainers/
2,incline treadmill,6,7,740,0.20,14800,87,https://www.treadmillreviews.net/incline-treadmill-reviews/
2,treadmill costco,3,7,729,0.20,40500,84,https://www.treadmillreviews.net/buying-a-treadmill-from-costco/
2,nordictrack t 6.5 s,3,5,729,0.20,8100,71,https://www.treadmillreviews.net/nordictrack-t-6-5-s/
2,nordictrack treadmill,7,8,724,0.20,90500,86,https://www.treadmillreviews.net/nordictrack-commercial-1750/
